latitude,longitude,psc,uarfcn
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10612
10.01709,105.785515,93,10562
10.01709,105.785515,93,10612
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10587
10.01709,105.785515,93,10587
10.01709,105.785515,93,10562
10.01709,105.785515,93,10587
10.01709,105.785515,93,10562
10.01709,105.785515,93,10587
10.01709,105.785515,93,10612
10.01709,105.785515,93,10562
10.01709,105.785515,93,10612
10.01709,105.785515,93,10587
10.01709,105.785515,93,10612
10.01709,105.785515,93,10612
10.01709,105.785515,93,10587
10.01709,105.785515,93,10587
10.01709,105.785515,93,10562
10.01709,105.785515,93,10612
10.01709,105.785515,93,10587
10.01709,105.785515,93,10612
10.01709,105.785515,93,10612
10.01709,105.785515,93,10562
10.01709,105.785515,93,10612
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10612
10.01709,105.785515,93,10562
10.01709,105.785515,93,10612
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10612
10.01709,105.785515,93,10562
10.01709,105.785515,93,10587
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10612
10.01709,105.785515,93,10612
10.01709,105.785515,93,10562
10.01709,105.785515,93,10612
10.01709,105.785515,93,10562
10.01709,105.785515,93,10562
10.01709,105.785515,93,10587
10.0170582,105.7854865,93,10612
10.0170428,105.7854685,93,10612
10.0170275,105.7854505,93,10612
10.017016,105.7854323,93,10612
10.017004,105.785413,93,10562
10.016981,105.785394,77,10562
10.0169653,105.7853748,77,10562
10.0169465,105.785353,93,10587
10.0169285,105.7853285,93,10612
10.016915,105.785309,93,10562
10.016915,105.785309,93,10612
10.016915,105.785309,93,10587
10.016915,105.785309,93,10587
10.016876,105.785246,93,10587
