latitude,longitude,psc,uarfcn
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,79,10612
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,79,10612
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,143,10562
9.8288758,105.8114055,87,10587
9.8288758,105.8114055,87,10587
